brand,goods_name,item0,item1,item2,item3,item4,item5,item6,item7,item8,normal_price,platform,shop_name,total_views
欧乐B（Oral-B）, 欧乐B（OralB）排浊泡泡牙膏持续牙龈修护+清新王凯同款牙龈专护牙膏200g,,,,,,,,,,49.90,京东,欧乐B个护口腔自营旗舰店,47万+
黑人（DARLIE）, 黑人（DARLIE）舒心之旅家庭装770g（绿茶140g+百里香140g+白茶140g+薄荷175g*2+炭丝牙刷*2）新老包装随机发,,,,,,,,,,59.90,京东,,132万+
舒适达, 舒适达速效抗敏牙膏120g×3+牙膏便携装×2（又名:劲速护理牙膏120g×3+便携装×2）,,,,,,,,,,79.90,京东,舒适达京东自营官方旗舰店,40万+
高露洁（Colgate）,高露洁（Colgate）360°全面口腔健康牙膏40g（口味随机发放）【赠品勿拍】,,,,,,,,,,9.90,京东,高露洁京东自营官方旗舰店,7.8万+
舒适达, 舒适达（sensodyne）多效护理抗敏感牙膏180g×3+便携装×3,,,,,,,,,,99.90,京东,舒适达京东自营官方旗舰店,10万+
舒客, 舒客专业特惠家庭装8支牙膏+2支软毛牙刷（防蛀140gx4+抗敏120gx2+维c营养120gx2)(又名：经典多效套装),,,,,,,,,,39.80,京东,舒客京东自营官方旗舰店,30万+
云南白药（YUNNANBAIYAO）, 云南白药人气牙膏套装3支装(留兰香型180g+薄荷清爽型210g+冬青香型165g),,,,,,,,,,89.00,京东,云南白药官方旗舰店,116万+
欧乐B（Oral-B）, 欧乐B（OralB）排浊泡泡牙膏对抗红肿出血王凯同款牙龈专护牙膏40g(新老包装随机发送),,,,,,,,,,10.90,京东,欧乐B个护口腔自营旗舰店,24万+
佳洁士（CREST）," 佳洁士（Crest）全优7效抗牙菌斑牙膏40克（新老包装,随机发货）",,,,,,,,,,11.60,京东,佳洁士官方旗舰店,41万+
黑人（DARLIE）, 黑人（DARLIE）双重薄荷清新口气牙膏套装防蛀固齿防口气（双重薄荷牙膏225g×3）(新老包装随机发放）,,,,,,,,,,47.80,京东,黑人京东自营官方旗舰店,132万+
佳洁士（CREST）,"佳洁士（Crest）3D钻亮炫白牙膏116g*2超值装(热感美白美国进口)（新老包装,随机发货）",,,,,,,,,,35.80,京东,佳洁士官方旗舰店,72万+
云南白药（YUNNANBAIYAO）, 云南白药人气3+2牙膏套装(留兰香180g+薄荷清爽185g+冬青香170g+2支牙刷)牙刷随机发货,,,,,,,,,,89.00,京东,云南白药官方旗舰店,116万+
云南白药（YUNNANBAIYAO）, 云南白药520健康牙膏4支套装（留兰120g+薄荷150g+益优薄荷145g+益优冰柠105g）新老包装随机发,,,,,,,,,,79.00,京东,云南白药官方旗舰店,116万+
黑人（DARLIE）, 黑人（DARLIE）超白美白牙膏亮白清新有效防蛀（竹炭深洁190g）（新老包装随机发放）,,,,,,,,,,12.90,京东,黑人京东自营官方旗舰店,112万+
迪王（DIWANG）, 【英国迪王】洗牙粉牙齿美白牙贴洁牙粉黄牙吸烟人群烟牙牙垢烟渍牙结石白牙素牙膏,,,,,,,,,,59.00,京东,易通达个护专营店,4.8万+
LG竹盐, LG竹盐派缤牙膏285g(按压式牙膏)(韩国原装进口),,,,,,,,,,34.40,京东,,17万+
黑人（DARLIE）, 黑人（DARLIE）超白美白牙膏套装亮白牙齿深层清洁（竹炭深洁120g*4+炭丝深洁牙刷*2)（分解牙渍清洁口腔）,,,,,,,,,,39.90,京东,黑人京东自营官方旗舰店,112万+
欧乐B（Oral-B）, 欧乐B（OralB）排浊泡泡牙膏夜间密集护理王凯同款牙龈专护牙膏200g,,,,,,,,,,49.90,京东,欧乐B个护口腔自营旗舰店,47万+
佳洁士（CREST）, 佳洁士（Crest）3D炫白双效牙膏180g6支装鹿晗定制装（新老包装随机发货）,,,,,,,,,,59.90,京东,佳洁士官方旗舰店,95万+
佳洁士（CREST）, 佳洁士(Crest)美国进口热感美白超值装钻亮炫白牙膏8支(共计560g)+全优7效牙刷2支（祛牙渍茶渍咖啡渍）,,,,,,,,,,109.00,京东,佳洁士官方旗舰店,72万+
狮王（Lion）, 狮王（Lion）面包超人儿童牙膏草莓味40g（日本原装进口）,,,,,,,,,,15.80,京东,狮王京东自营旗舰店,19万+
狮王（Lion）, 狮王(Lion)ZACT去烟渍冰爽牙膏130g两支特惠装（日本原装进口）,,,,,,,,,,49.90,京东,狮王京东自营旗舰店,18万+
NUK, NUK进口儿童牙膏婴儿牙膏宝宝牙膏安全可吞咽不含氟【德国进口】,,,,,,,,,,79.00,京东,NUK自营官方旗舰店,5.8万+
舒适达, 舒适达（sensodyne）抗敏感牙膏套装（牙龈护理牙膏120g×3+便携装×2）,,,,,,,,,,79.90,京东,舒适达京东自营官方旗舰店,40万+
健舒佳（Kensuka）,健舒佳（kensuka）旅行洗漱牙刷牙膏餐具多用途收纳盒PP材质便携透气坚固耐用（颜色随机）,,,,,,,,,,19.90,京东,健舒佳京东自营旗舰店,5.7万+
佳洁士（CREST）," 佳洁士（Crest）3D炫白双效牙膏180克（新老包装,随机发货）",,,,,,,,,,14.90,京东,佳洁士官方旗舰店,95万+
云南白药（YUNNANBAIYAO）, 云南白药牙膏210g×3（薄荷香型）新老包装随机发货,,,,,,,,,,99.00,京东,云南白药官方旗舰店,71万+
狮王（Lion）, 狮王(Lion)齿力佳健齿牙膏(超爽薄荷)130g*3（新老包装随机发货）（日本原装进口）,,,,,,,,,,49.90,京东,狮王京东自营旗舰店,19万+
云南白药（YUNNANBAIYAO）, 云南白药国粹经典牙膏套装（留兰100g+冬青100g+双效抗敏100g+冰凝薄荷100g+润口渍清100g）,,,,,,,,,,79.00,京东,云南白药官方旗舰店,116万+
舒适达, 舒适达（sensodyne）抗敏感牙膏护理套装（多效牙膏120g×3+便携装×2）,,,,,,,,,,79.90,京东,舒适达京东自营官方旗舰店,40万+
云南白药（YUNNANBAIYAO）, 云南白药牙膏210g×2（薄荷清爽型）新老包装随机发货,,,,,,,,,,66.00,京东,云南白药官方旗舰店,71万+
狮王（Lion）, 狮王(Lion)齿力佳健齿牙膏(超爽薄荷)130g（新老包装随机发货）（日本原装进口）,,,,,,,,,,16.80,京东,狮王京东自营旗舰店,19万+
云南白药（YUNNANBAIYAO）, 云南白药环保牙膏4支装益生菌(晨露100g×2+益优冰柠105g+益优薄荷105g+环保购物袋)新老包装随机发货,,,,,,,,,,56.00,京东,云南白药官方旗舰店,116万+
欧乐B（Oral-B）, 欧乐B（OralB）排浊泡泡牙膏―绿茶持久清新修护王凯同款牙龈专护牙膏200g,,,,,,,,,,49.90,京东,欧乐B个护口腔自营旗舰店,47万+
高露洁（Colgate）, 高露洁（Colgate）守护炫白笑容超级套装（光感劲白牙膏6支720g+超洁纤柔三支装*2，赠品随机发放）,,,,,,,,,,55.00,京东,高露洁京东自营官方旗舰店,12万+
舒客, 舒客儿童声波电动牙刷牙膏套装(男孩款）(送无氟可吞咽液体牙膏40g*3+替换刷头3个)2-7岁宝宝,,,,,,,,,,198.00,京东,舒客京东自营官方旗舰店,1.2万+
高露洁（Colgate）, 高露洁（Colgate）360°全面口腔健康备长炭深洁牙膏套装200g×3（随机赠送Joy杯）,,,,,,,,,,52.00,京东,高露洁京东自营官方旗舰店,17万+
黑人（DARLIE）, 黑人（DARLIE）双重薄荷清新口气牙膏225g防蛀固齿防口气(新老包装随机发放）,,,,,,,,,,16.90,京东,黑人京东自营官方旗舰店,132万+
云南白药（YUNNANBAIYAO）, 云南白药牙膏120g（留兰香型）新老包装随机发货,,,,,,,,,,21.60,京东,云南白药官方旗舰店,181万+
高露洁（Colgate）, 高露洁（Colgate）360°新品双锌备长炭深洁牙膏200g（冬青薄荷，清新口气）,,,,,,,,,,21.90,京东,高露洁京东自营官方旗舰店,149万+
狮王（Lion）, 狮王(Lion)齿力佳酵素健齿牙膏130g（立式）(清新薄荷)(原酵素随机发货)（日本原装进口）,,,,,,,,,,29.80,京东,狮王京东自营旗舰店,70万+
